Function;Number of proteins;totPrctP;Correlated proteins;corPrctP
{Transcription};67;2.4832629382533198;45;1.1034534882419609
{Carbohydrate Metabolism};130;18.825624384091515;60;7.7144090483705812
{Folding, Sorting and Degradation};96;6.7582652181737863;57;4.6504483280133595
{Amino Acid Metabolism};99;8.5977706662413205;79;7.671493469708687
{Membrane Transport};74;8.1638678349235114;22;0.29718389437074316
{Nucleotide Metabolism};61;4.7217180503767935;45;3.9823188462943402
{Translation};111;10.42340194781427;94;9.9521116997673023
{NotMapped};645;24.543275612486003;255;9.2514486142415073
{Energy Metabolism};35;3.8401679772625208;26;3.2750357645471859
{Lipid Metabolism};25;2.0648869786242274;9;0.74040794705189839
{Metabolism of Other Amino Acids};21;0.94530781725559854;16;0.787416151585278
{Cytoskeleton};5;0.49460440193665511;3;0.35246542435909267
{Metabolism of Cofactors and Vitamins};66;0.93410414226936889;45;0.69788348180957138
{DNA maintenance};55;1.1779767297418346;33;0.45428133601950738
{Cell Motility};5;0.80213081567891398;1;0.0017156193808961293
{Signal Transduction};33;0.98316687015830595;11;0.10724197782643427
{Other enzymes};82;3.4933183103641721;48;0.72478022890570748
{Glycan Biosynthesis and Metabolism};15;0.35411969259253978;8;0.18418135041506403
{Xenobiotics Biodegradation and Metabolism};4;0.12481642085514194;4;0.12481642085514194
{Not mapped};9;0.11073574924897098;6;0.021080070068998799
{Metabolism of Terpenoids and Polyketides};16;0.1565346000259433;14;0.14758148865127499
